Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 11.11      0.04     0.04  4649686     0.00     0.00  std::_List_const_iterator<unsigned int>::operator++()
  9.72      0.08     0.04  1959905     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::_M_create_node(neighbor_t const&)
  8.34      0.11     0.03  3919810     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Tp_allocator() const
  5.56      0.13     0.02  5434793     0.00     0.00  neighbor_t* std::__addressof<neighbor_t>(neighbor_t&)
  5.56      0.15     0.02  4032234     0.00     0.00  std::allocator<neighbor_t>::~allocator()
  5.56      0.17     0.02  1959905     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::destroy(neighbor_t*)
  5.56      0.19     0.02   138858     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_clear()
  5.56      0.21     0.02      307     0.07     0.68  leastFirst(AbstractGraph&, unsigned int, unsigned int)
  2.78      0.22     0.01  4693648     0.00     0.00  std::_List_const_iterator<unsigned int>::operator!=(std::_List_const_iterator<unsigned int> const&) const
  2.78      0.23     0.01  4032234     0.00     0.00  std::allocator<neighbor_t>::allocator<std::_List_node<neighbor_t> >(std::allocator<std::_List_node<neighbor_t> > const&)
  2.78      0.24     0.01  4007945     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_Node_allocator() const
  2.78      0.25     0.01  3841280     0.00     0.00  std::_List_iterator<neighbor_t>::_List_iterator(std::__detail::_List_node_base*)
  2.78      0.26     0.01  3563543     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::end()
  2.78      0.27     0.01  3263746     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator!=(std::_List_const_iterator<neighbor_t> const&) const
  2.78      0.28     0.01  1959905     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::construct(neighbor_t*, neighbor_t const&)
  2.78      0.29     0.01  1959905     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::push_back(neighbor_t const&)
  2.78      0.30     0.01  1513305     0.00     0.00  std::_List_iterator<neighbor_t>::operator->() const
  2.78      0.31     0.01  1469221     0.00     0.00  std::_List_iterator<neighbor_t>::operator++(int)
  2.78      0.32     0.01  1120309     0.00     0.00  std::_List_iterator<neighbor_t>::operator++()
  2.78      0.33     0.01   134423     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_put_node(std::_List_node<unsigned int>*)
  2.78      0.34     0.01    54478     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::operator=(std::list<neighbor_t, std::allocator<neighbor_t> > const&)
  2.78      0.35     0.01    41607     0.00     0.00  std::iterator_traits<std::_List_const_iterator<unsigned int> >::difference_type std::__distance<std::_List_const_iterator<unsigned int> >(std::_List_const_iterator<unsigned int>, std::_List_const_iterator<unsigned int>, std::input_iterator_tag)
  2.78      0.36     0.01       15     0.67     1.81  generateLevelGraph(AbstractGraph const&, unsigned int, unsigned int)
  1.39      0.36     0.01  4032234     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::new_allocator()
  0.00      0.36     0.00  4032234     0.00     0.00  __gnu_cxx::new_allocator<neighbor_t>::~new_allocator()
  0.00      0.36     0.00  3105135     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator++()
  0.00      0.36     0.00  2973279     0.00     0.00  std::_List_const_iterator<neighbor_t>::operator*() const
  0.00      0.36     0.00  2872579     0.00     0.00  std::_List_iterator<neighbor_t>::operator!=(std::_List_iterator<neighbor_t> const&) const
  0.00      0.36     0.00  2173132     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.36     0.00  1959905     0.00     0.00  neighbor_t::~neighbor_t()
  0.00      0.36     0.00  1959905     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::deallocate(std::_List_node<neighbor_t>*, unsigned long)
  0.00      0.36     0.00  1959905     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::allocate(unsigned long, void const*)
  0.00      0.36     0.00  1959905     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<neighbor_t> >::max_size() const
  0.00      0.36     0.00  1959905     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_get_node()
  0.00      0.36     0.00  1959905     0.00     0.00  std::_List_base<neighbor_t, std::allocator<neighbor_t> >::_M_put_node(std::_List_node<neighbor_t>*)
